,Survived,Pclass,Sex,Age,Fare,Family_Size,Embarked_Q,Embarked_S,Cabin_availability
519,0,3,1,32.0,7.8958,1,0,1,0
520,1,1,0,30.0,93.5,1,0,1,1
521,0,3,1,22.0,7.8958,1,0,1,0
522,0,3,1,30.0,7.225,1,0,0,0
523,1,1,0,44.0,57.9792,2,0,0,1
524,0,3,1,30.0,7.2292,1,0,0,0
525,0,3,1,40.5,7.75,1,1,0,0
526,1,2,0,50.0,10.5,1,0,1,0
527,0,1,1,30.0,221.7792,1,0,1,1
528,0,3,1,39.0,7.925,1,0,1,0
529,0,2,1,23.0,11.5,4,0,1,0
530,1,2,0,2.0,26.0,3,0,1,0
531,0,3,1,30.0,7.2292,1,0,0,0
532,0,3,1,17.0,7.2292,3,0,0,0
533,1,3,0,30.0,22.3583,3,0,0,0
534,0,3,0,30.0,8.6625,1,0,1,0
535,1,2,0,7.0,26.25,3,0,1,0
536,0,1,1,45.0,26.55,1,0,1,1
537,1,1,0,30.0,106.425,1,0,0,0
538,0,3,1,30.0,14.5,1,0,1,0
539,1,1,0,22.0,49.5,3,0,0,1
540,1,1,0,36.0,71.0,3,0,1,1
541,0,3,0,9.0,31.275,7,0,1,0
542,0,3,0,11.0,31.275,7,0,1,0
543,1,2,1,32.0,26.0,2,0,1,0
544,0,1,1,50.0,106.425,2,0,0,1
545,0,1,1,64.0,26.0,1,0,1,0
546,1,2,0,19.0,26.0,2,0,1,0
547,1,2,1,30.0,13.8625,1,0,0,0
548,0,3,1,33.0,20.525,3,0,1,0
549,1,2,1,8.0,36.75,3,0,1,0
550,1,1,1,17.0,110.8833,3,0,0,1
551,0,2,1,27.0,26.0,1,0,1,0
552,0,3,1,30.0,7.8292,1,1,0,0
553,1,3,1,22.0,7.225,1,0,0,0
554,1,3,0,22.0,7.775,1,0,1,0
555,0,1,1,62.0,26.55,1,0,1,0
556,1,1,0,48.0,39.6,2,0,0,1
557,0,1,1,30.0,227.525,1,0,0,0
558,1,1,0,39.0,79.65,3,0,1,1
559,1,3,0,36.0,17.4,2,0,1,0
560,0,3,1,30.0,7.75,1,1,0,0
561,0,3,1,40.0,7.8958,1,0,1,0
562,0,2,1,28.0,13.5,1,0,1,0
563,0,3,1,30.0,8.05,1,0,1,0
564,0,3,0,30.0,8.05,1,0,1,0
565,0,3,1,24.0,24.15,3,0,1,0
566,0,3,1,19.0,7.8958,1,0,1,0
567,0,3,0,29.0,21.075,5,0,1,0
568,0,3,1,30.0,7.2292,1,0,0,0
569,1,3,1,32.0,7.8542,1,0,1,0
570,1,2,1,62.0,10.5,1,0,1,0
